"year","month","day","PM_Average","city"
2010,1,1,129,"Beijing"
2010,1,1,NA,"Shanghai"
2010,1,2,144.333333333333,"Beijing"
2010,1,2,NA,"Shanghai"
2010,1,3,78.375,"Beijing"
2010,1,3,NA,"Shanghai"
2010,1,4,29.2916666666667,"Beijing"
2010,1,4,NA,"Shanghai"
2010,1,5,43.5416666666667,"Beijing"
2010,1,5,NA,"Shanghai"
2010,1,6,59.375,"Beijing"
2010,1,6,NA,"Shanghai"
2010,1,7,72.4583333333333,"Beijing"
2010,1,7,NA,"Shanghai"
2010,1,8,174.333333333333,"Beijing"
2010,1,8,NA,"Shanghai"
2010,1,9,84.75,"Beijing"
2010,1,9,NA,"Shanghai"
2010,1,10,55.0833333333333,"Beijing"
2010,1,10,NA,"Shanghai"
2010,1,11,19.9166666666667,"Beijing"
2010,1,11,NA,"Shanghai"
2010,1,12,20.5,"Beijing"
2010,1,12,NA,"Shanghai"
2010,1,13,42.7083333333333,"Beijing"
2010,1,13,NA,"Shanghai"
2010,1,14,92.0833333333333,"Beijing"
2010,1,14,NA,"Shanghai"
2010,1,15,49.8333333333333,"Beijing"
2010,1,15,NA,"Shanghai"
2010,1,16,182.708333333333,"Beijing"
2010,1,16,NA,"Shanghai"
2010,1,17,210,"Beijing"
2010,1,17,NA,"Shanghai"
2010,1,18,263.375,"Beijing"
2010,1,18,NA,"Shanghai"
2010,1,19,341,"Beijing"
2010,1,19,NA,"Shanghai"
2010,1,20,70.9166666666667,"Beijing"
2010,1,20,NA,"Shanghai"
2010,1,21,27.75,"Beijing"
2010,1,21,NA,"Shanghai"
2010,1,22,30,"Beijing"
2010,1,22,NA,"Shanghai"
2010,1,23,21.5625,"Beijing"
2010,1,23,NA,"Shanghai"
2010,1,24,NA,"Beijing"
2010,1,24,NA,"Shanghai"
2010,1,25,NA,"Beijing"
2010,1,25,NA,"Shanghai"
2010,1,26,203.538461538462,"Beijing"
2010,1,26,NA,"Shanghai"
2010,1,27,110.708333333333,"Beijing"
2010,1,27,NA,"Shanghai"
2010,1,28,21.125,"Beijing"
2010,1,28,NA,"Shanghai"
2010,1,29,25.625,"Beijing"
2010,1,29,NA,"Shanghai"
2010,1,30,45.2916666666667,"Beijing"
2010,1,30,NA,"Shanghai"
2010,1,31,38.4166666666667,"Beijing"
2010,1,31,NA,"Shanghai"
2010,2,1,64.6666666666667,"Beijing"
2010,2,1,NA,"Shanghai"
2010,2,2,65.9166666666667,"Beijing"
2010,2,2,NA,"Shanghai"
2010,2,3,78.9583333333333,"Beijing"
2010,2,3,NA,"Shanghai"
2010,2,4,56.2083333333333,"Beijing"
2010,2,4,NA,"Shanghai"
2010,2,5,78.5833333333333,"Beijing"
2010,2,5,NA,"Shanghai"
2010,2,6,76.6666666666667,"Beijing"
2010,2,6,NA,"Shanghai"
2010,2,7,113.916666666667,"Beijing"
2010,2,7,NA,"Shanghai"
2010,2,8,180.958333333333,"Beijing"
2010,2,8,NA,"Shanghai"
2010,2,9,147.625,"Beijing"
2010,2,9,NA,"Shanghai"
2010,2,10,12.2083333333333,"Beijing"
2010,2,10,NA,"Shanghai"
2010,2,11,14.5833333333333,"Beijing"
2010,2,11,NA,"Shanghai"
2010,2,12,26.875,"Beijing"
2010,2,12,NA,"Shanghai"
2010,2,13,88.2083333333333,"Beijing"
2010,2,13,NA,"Shanghai"
2010,2,14,90.0869565217391,"Beijing"
2010,2,14,NA,"Shanghai"
2010,2,15,34.2083333333333,"Beijing"
2010,2,15,NA,"Shanghai"
2010,2,16,96.125,"Beijing"
2010,2,16,NA,"Shanghai"
2010,2,17,60.75,"Beijing"
2010,2,17,NA,"Shanghai"
2010,2,18,84.2083333333333,"Beijing"
2010,2,18,NA,"Shanghai"
2010,2,19,114.875,"Beijing"
2010,2,19,NA,"Shanghai"
2010,2,20,180.833333333333,"Beijing"
2010,2,20,NA,"Shanghai"
2010,2,21,121.291666666667,"Beijing"
2010,2,21,NA,"Shanghai"
2010,2,22,91.8333333333333,"Beijing"
2010,2,22,NA,"Shanghai"
2010,2,23,174.541666666667,"Beijing"
2010,2,23,NA,"Shanghai"
2010,2,24,272.75,"Beijing"
2010,2,24,NA,"Shanghai"
2010,2,25,164.958333333333,"Beijing"
2010,2,25,NA,"Shanghai"
2010,2,26,69.2916666666667,"Beijing"
2010,2,26,NA,"Shanghai"
2010,2,27,80.0833333333333,"Beijing"
2010,2,27,NA,"Shanghai"
2010,2,28,81.2083333333333,"Beijing"
2010,2,28,NA,"Shanghai"
2010,3,1,59.25,"Beijing"
2010,3,1,NA,"Shanghai"
2010,3,2,90.4166666666667,"Beijing"
2010,3,2,NA,"Shanghai"
2010,3,3,157.416666666667,"Beijing"
2010,3,3,NA,"Shanghai"
2010,3,4,192.333333333333,"Beijing"
2010,3,4,NA,"Shanghai"
2010,3,5,21.7916666666667,"Beijing"
2010,3,5,NA,"Shanghai"
2010,3,6,51.8333333333333,"Beijing"
2010,3,6,NA,"Shanghai"
2010,3,7,87.8333333333333,"Beijing"
2010,3,7,NA,"Shanghai"
2010,3,8,45.375,"Beijing"
2010,3,8,NA,"Shanghai"
2010,3,9,19.7083333333333,"Beijing"
2010,3,9,NA,"Shanghai"
2010,3,10,61.875,"Beijing"
2010,3,10,NA,"Shanghai"
2010,3,11,176.291666666667,"Beijing"
2010,3,11,NA,"Shanghai"
2010,3,12,43.625,"Beijing"
2010,3,12,NA,"Shanghai"
2010,3,13,60.375,"Beijing"
2010,3,13,NA,"Shanghai"
2010,3,14,86.625,"Beijing"
2010,3,14,NA,"Shanghai"
2010,3,15,62.75,"Beijing"
2010,3,15,NA,"Shanghai"
2010,3,16,64.875,"Beijing"
2010,3,16,NA,"Shanghai"
2010,3,17,40.5833333333333,"Beijing"
2010,3,17,NA,"Shanghai"
2010,3,18,164.75,"Beijing"
2010,3,18,NA,"Shanghai"
2010,3,19,226,"Beijing"
2010,3,19,NA,"Shanghai"
2010,3,20,161.954545454545,"Beijing"
2010,3,20,NA,"Shanghai"
2010,3,21,70.5416666666667,"Beijing"
2010,3,21,NA,"Shanghai"
2010,3,22,160.478260869565,"Beijing"
2010,3,22,NA,"Shanghai"
2010,3,23,53.875,"Beijing"
2010,3,23,NA,"Shanghai"
2010,3,24,61.9166666666667,"Beijing"
2010,3,24,NA,"Shanghai"
2010,3,25,31.0416666666667,"Beijing"
2010,3,25,NA,"Shanghai"
2010,3,26,69.5,"Beijing"
2010,3,26,NA,"Shanghai"
2010,3,27,69.625,"Beijing"
2010,3,27,NA,"Shanghai"
2010,3,28,73.9166666666667,"Beijing"
